"","X","Name","Vorname","Nachname","Geschlecht","Nationalität","Birthday","Seasons","URL","Season.x","Season.y","Season.x.x","Season.y.y","Season","Größe","Gewicht","Geburtsort","Hintergrund","Bild_URL"
"1",499,"Ada Theilken","Ada","Theilken","w"," Deutschland","16.11.1997"," 2 3  ","https://www.sport.de/ninja-warrior/pe686284/ada-theilken/",NA,2,3,NA,NA,180,70," Deutschland","","https://s.hs-data.com/gfx/person/m/686284.jpg"
"2",135,"Ademir Memic","Ademir","Memic","m"," Deutschland","22.06.1992","1    ","https://www.sport.de/ninja-warrior/pe685849/ademir-memic/",1,NA,NA,NA,NA,170,76," Deutschland","","https://s.hs-data.com/gfx/person/m/685849.jpg"
"3",531,"Adrian Wullweber","Adrian","Wullweber","m"," Deutschland","22.03.1992"," 2 3 4 ","https://www.sport.de/ninja-warrior/pe686433/adrian-wullweber/",NA,2,3,4,NA,188,73," Deutschland","","https://s.hs-data.com/gfx/person/m/686433.jpg"
"4",356,"Afra Hönig","Afra","Hönig","w"," Deutschland","02.12.1995"," 2   ","https://www.sport.de/ninja-warrior/pe686466/afra-hoenig/",NA,2,NA,NA,NA,164,60," Deutschland","","https://s.hs-data.com/gfx/person/m/686466.jpg"
"5",871,"Ahmet Kurt","Ahmet","Kurt","m"," Deutschland","02.01.1954","   4 5","https://www.sport.de/ninja-warrior/pe686854/ahmet-kurt/",NA,NA,NA,4,5,168,75," Deutschland","","https://s.hs-data.com/gfx/person/m/686854.jpg"
"6",534,"Akan Akyildiz","Akan","Akyildiz","m"," Deutschland","04.07.1976","  3  ","https://www.sport.de/ninja-warrior/pe686267/akan-akyildiz/",NA,NA,3,NA,NA,173,70," Deutschland","","https://s.hs-data.com/gfx/person/m/686267.jpg"
"7",425,"Al-Sagad Moula","Al-Sagad","Moula","m"," Deutschland","28.08.1989"," 2   ","https://www.sport.de/ninja-warrior/pe686434/al-sagad-moula/",NA,2,NA,NA,NA,176,81," Deutschland","","https://s.hs-data.com/gfx/person/m/686434.jpg"
"8",262,"Aleksandra Beese","Aleksandra","Beese","w"," Deutschland","20.12.1992"," 2   ","https://www.sport.de/ninja-warrior/pe686370/aleksandra-beese/",NA,2,NA,NA,NA,168,55," Deutschland","","https://s.hs-data.com/gfx/person/m/686370.jpg"
"9",342,"Alessandro Hasler","Alessandro","Hasler","m"," Deutschland","04.04.1995"," 2   ","https://www.sport.de/ninja-warrior/pe686579/alessandro-hasler/",NA,2,NA,NA,NA,170,67," Deutschland","","https://s.hs-data.com/gfx/person/m/686579.jpg"
"10",332,"Alex Grunwald","Alex","Grunwald","m"," Deutschland","24.05.1989"," 2 3 4 5","https://www.sport.de/ninja-warrior/pe686457/alex-grunwald/",NA,2,3,4,5,183,73," Deutschland","","https://s.hs-data.com/gfx/person/m/686457.jpg"
"11",843,"Alex Hildebrandt","Alex","Hildebrandt","m"," Deutschland","12.01.1984","   4 ","https://www.sport.de/ninja-warrior/pe686701/alex-hildebrandt/",NA,NA,NA,4,NA,172,67," Deutschland","","https://s.hs-data.com/gfx/person/m/686701.jpg"
"12",751,"Alex Thomas","Alex","Thomas","m"," Deutschland","16.12.1998","  3  ","https://www.sport.de/ninja-warrior/pe686210/alex-thomas/",NA,NA,3,NA,NA,175,60," Deutschland","","https://s.hs-data.com/gfx/person/m/686210.jpg"
"13",249,"Alexander Averdunk","Alexander","Averdunk","m"," Deutschland","13.07.1997"," 2   ","https://www.sport.de/ninja-warrior/pe686367/alexander-averdunk/",NA,2,NA,NA,NA,178,62," Deutschland","","https://s.hs-data.com/gfx/person/m/686367.jpg"
"14",1037,"Alexander Frisch","Alexander","Frisch","m"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708149/alexander-frisch/",NA,NA,NA,NA,5,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/708149.jpg"
"15",1054,"Alexander Haidamak","Alexander","Haidamak","m"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708093/alexander-haidamak/",NA,NA,NA,NA,5,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/708093.jpg"
"16",375,"Alexander Keen","Alexander","Keen","m"," Deutschland","19.11.1982"," 2   ","https://www.sport.de/ninja-warrior/pe705715/alexander-keen/",NA,2,NA,NA,NA,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/705715.jpg"
"17",640,"Alexander Klaws","Alexander","Klaws","m"," Deutschland","03.09.1983","  3  ","https://www.sport.de/ninja-warrior/pe705720/alexander-klaws/",NA,NA,3,NA,NA,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/705720.jpg"
