"","Name","Vorname","Nachname","Geschlecht","Nationalität","Birthday","Seasons","URL","Season.x","Season.y","Season.x.x","Season.y.y","Season"
"1"," Till Adam","Till","Adam","m"," Deutschland"," 17.11.1988","1    ","https://www.sport.de/ninja-warrior/pe686004/till-adam/","1","","","",""
"2"," Michael Adelmann","Michael","Adelmann","m"," Deutschland"," 05.02.1982","1    ","https://www.sport.de/ninja-warrior/pe686074/michael-adelmann/","1","","","",""
"3"," Mario Aigner","Mario","Aigner","m"," Österreich"," 20.05.1990","1    ","https://www.sport.de/ninja-warrior/pe686040/mario-aigner/","1","","","",""
"4"," Marius Al-Ani","Marius","Al-Ani","m"," Deutschland"," 03.12.1990","1 2   ","https://www.sport.de/ninja-warrior/pe686032/marius-al-ani/","1","2","","",""
"5"," Ulfert Andres","Ulfert","Andres","m"," Deutschland"," 13.07.1978","1    ","https://www.sport.de/ninja-warrior/pe685898/ulfert-andres/","1","","","",""
"6"," Philipp Ansorge","Philipp","Ansorge","m"," Deutschland"," 09.06.1988","1    ","https://www.sport.de/ninja-warrior/pe686077/philipp-ansorge/","1","","","",""
"7"," Yannic Appel-Malchow","Yannic","Appel-Malchow","m"," Deutschland"," 21.12.1992","1  3  ","https://www.sport.de/ninja-warrior/pe686080/yannic-appel-malchow/","1","","3","",""
"8"," Alix Arndt","Alix","Arndt","w"," Deutschland"," 27.05.1979","1 2  4 5","https://www.sport.de/ninja-warrior/pe686107/alix-arndt/","1","2","","4","5"
"9"," Ulf Asmussen","Ulf","Asmussen","m"," Deutschland"," 27.10.1968","1    ","https://www.sport.de/ninja-warrior/pe685949/ulf-asmussen/","1","","","",""
"10"," Christian Balkheimer","Christian","Balkheimer","m"," Deutschland"," 22.11.1992","1 2 3 4 5","https://www.sport.de/ninja-warrior/pe686086/christian-balkheimer/","1","2","3","4","5"
"11"," David Bär","David","Bär","m"," Deutschland"," 19.07.1989","1    ","https://www.sport.de/ninja-warrior/pe686016/david-baer/","1","","","",""
"12"," Alexandru Barbu","Alexandru","Barbu","m"," Deutschland"," 09.04.1992","1    ","https://www.sport.de/ninja-warrior/pe686060/alexandru-barbu/","1","","","",""
"13"," Josef Bauer","Josef","Bauer","m"," Deutschland"," 28.07.1990","1    ","https://www.sport.de/ninja-warrior/pe685932/josef-bauer/","1","","","",""
"14"," Marcus Bay","Marcus","Bay","m"," Deutschland"," 16.02.1996","1    ","https://www.sport.de/ninja-warrior/pe685856/marcus-bay/","1","","","",""
"15"," Tobias Becker","Tobias","Becker","m"," Deutschland"," 05.06.1992","1    ","https://www.sport.de/ninja-warrior/pe686062/tobias-becker/","1","","","",""
"16"," Anja Behrens-Begerow","Anja","Behrens-Begerow","w"," Deutschland"," 01.07.1969","1    ","https://www.sport.de/ninja-warrior/pe686101/anja-behrens-begerow/","1","","","",""
"17"," Ralf Berger","Ralf","Berger","m"," Österreich"," 18.10.1991","1    ","https://www.sport.de/ninja-warrior/pe686009/ralf-berger/","1","","","",""
"18"," Jonas Berndt","Jonas","Berndt","m"," Deutschland"," 30.10.1992","1    ","https://www.sport.de/ninja-warrior/pe686053/jonas-berndt/","1","","","",""
"19"," David Binninger","David","Binninger","m"," Deutschland"," 18.12.1990","1    ","https://www.sport.de/ninja-warrior/pe685896/david-binninger/","1","","","",""
"20"," Bastian Binz","Bastian","Binz","m"," Deutschland"," 06.02.1991","1    ","https://www.sport.de/ninja-warrior/pe685905/bastian-binz/","1","","","",""
"21"," Nicole Biolik","Nicole","Biolik","w"," Deutschland"," 13.07.1989","1    ","https://www.sport.de/ninja-warrior/pe685927/nicole-biolik/","1","","","",""
"22"," Christoph Birkner","Christoph","Birkner","m"," Deutschland"," 24.07.1989","1    ","https://www.sport.de/ninja-warrior/pe685843/christoph-birkner/","1","","","",""
"23"," Dominik Bittner","Dominik","Bittner","m"," Deutschland"," 10.10.1996","1    ","https://www.sport.de/ninja-warrior/pe686057/dominik-bittner/","1","","","",""
"24"," Florian Bittner","Florian","Bittner","m"," Deutschland"," 27.03.1989","1    ","https://www.sport.de/ninja-warrior/pe685846/florian-bittner/","1","","","",""
"25"," Uwe Bolinius","Uwe","Bolinius","m"," Deutschland"," 09.03.1958","1    ","https://www.sport.de/ninja-warrior/pe686008/uwe-bolinius/","1","","","",""
"26"," Marcel Boost","Marcel","Boost","m"," Deutschland"," 01.03.1982","1    ","https://www.sport.de/ninja-warrior/pe686001/marcel-boost/","1","","","",""
"27"," Michael Bräuer","Michael","Bräuer","m"," Deutschland"," 08.06.1995","1 2 3 4 5","https://www.sport.de/ninja-warrior/pe685874/michael-braeuer/","1","2","3","4","5"
"28"," Steve Brauer","Steve","Brauer","m"," Deutschland"," 10.09.1984","1    ","https://www.sport.de/ninja-warrior/pe686047/steve-brauer/","1","","","",""
"29"," Ralph Breit","Ralph","Breit","m"," Deutschland"," 24.12.1969","1    ","https://www.sport.de/ninja-warrior/pe685892/ralph-breit/","1","","","",""
"30"," Peter Bruckmüller","Peter","Bruckmüller","m"," Deutschland"," 09.02.1981","1    ","https://www.sport.de/ninja-warrior/pe685837/peter-bruckmueller/","1","","","",""
"31"," Thomas Brüsewitz","Thomas","Brüsewitz","m"," Deutschland"," 13.05.1994","1    ","https://www.sport.de/ninja-warrior/pe685933/thomas-bruesewitz/","1","","","",""
"32"," Viktor Brüsewitz","Viktor","Brüsewitz","m"," Deutschland"," 19.01.1990","1 2 3  ","https://www.sport.de/ninja-warrior/pe685934/viktor-bruesewitz/","1","2","3","",""
"33"," Sylwia Buczek","Sylwia","Buczek","w"," Polen"," 30.04.1991","1    ","https://www.sport.de/ninja-warrior/pe686103/sylwia-buczek/","1","","","",""
"34"," Nena Buddemeier","Nena","Buddemeier","w"," Deutschland"," 05.01.1982","1    ","https://www.sport.de/ninja-warrior/pe685922/nena-buddemeier/","1","","","",""
"35"," Koray Cengiz","Koray","Cengiz","m"," Deutschland"," 15.03.1983","1    ","https://www.sport.de/ninja-warrior/pe685909/koray-cengiz/","1","","","",""
