URL,Name,Vorname,Nachname,Nation,Birthday,Alter,geschlecht
https://www.sport.de/ninja-warrior/pe708132/juliet-abayomi/,Juliet Abayomi,Juliet,Abayomi,Deutschland,,,w
https://www.sport.de/ninja-warrior/pe708227/nikki-adler/,Nikki Adler,Nikki,Adler,Deutschland,,,w
https://www.sport.de/ninja-warrior/pe708225/philipp-altenhofen/,Philipp Altenhofen,Philipp,Altenhofen,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708197/moritz-andelfinger/,Moritz Andelfinger,Moritz,Andelfinger,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708105/uwe-andorfer/,Uwe Andorfer,Uwe,Andorfer,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe686778/stefan-angermeier/,Stefan Angermeier,Stefan,Angermeier,Deutschland,1992-08-10T00:00:00.000Z,28,m
https://www.sport.de/ninja-warrior/pe708216/patrick-apfelthaler/,Patrick Apfelthaler,Patrick,Apfelthaler,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe686107/alix-arndt/,Alix Arndt,Alix,Arndt,Deutschland,1979-05-27T00:00:00.000Z,41,w
https://www.sport.de/ninja-warrior/pe707986/rainer-auer/,Rainer Auer,Rainer,Auer,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe707967/kevin-baecker/,Kevin Bäcker,Kevin,Bäcker,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708034/michael-badner/,Michael Badner,Michael,Badner,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe686086/christian-balkheimer/,Christian Balkheimer,Christian,Balkheimer,Deutschland,1992-11-22T00:00:00.000Z,27,m
https://www.sport.de/ninja-warrior/pe708135/stefanie-ballok/,Stefanie Ballok,Stefanie,Ballok,Deutschland,,,w
https://www.sport.de/ninja-warrior/pe708183/anne-bartelt/,Anne Bartelt,Anne,Bartelt,Deutschland,,,w
https://www.sport.de/ninja-warrior/pe708040/gabriel-barth/,Gabriel Barth,Gabriel,Barth,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708111/jens-bartsch/,Jens Bartsch,Jens,Bartsch,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708203/patrick-basler/,Patrick Basler,Patrick,Basler,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe707990/billy-bassilekin/,Billy Bassilekin,Billy,Bassilekin,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708031/florian-becher/,Florian Becher,Florian,Becher,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708099/mario-becker/,Mario Becker,Mario,Becker,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708137/ramona-beckmann/,Ramona Beckmann,Ramona,Beckmann,Deutschland,,,w
https://www.sport.de/ninja-warrior/pe708057/sne-belayneh/,Sne Belayneh,Sne,Belayneh,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708005/marius-bender/,Marius Bender,Marius,Bender,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe686217/rita-benker/,Rita Benker,Rita,Benker,Deutschland,1988-09-28T00:00:00.000Z,32,w
https://www.sport.de/ninja-warrior/pe708229/ramona-bergmeister/,Ramona Bergmeister,Ramona,Bergmeister,Deutschland,,,w
https://www.sport.de/ninja-warrior/pe686182/jessica-bertermann/,Jessica Bertermann,Jessica,Bertermann,Deutschland,1996-08-11T00:00:00.000Z,24,w
https://www.sport.de/ninja-warrior/pe708083/julia-beuter/,Julia Beuter,Julia,Beuter,Deutschland,,,w
https://www.sport.de/ninja-warrior/pe708232/julia-biebl/,Julia Biebl,Julia,Biebl,Deutschland,,,w
https://www.sport.de/ninja-warrior/pe708162/gordon-bieling/,Gordon Bieling,Gordon,Bieling,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe686602/katharina-blank/,Katharina Blank,Katharina,Blank,Deutschland,1993-01-24T00:00:00.000Z,27,w
https://www.sport.de/ninja-warrior/pe708190/theresa-bleibinhaus/,Theresa Bleibinhaus,Theresa,Bleibinhaus,Deutschland,,,w
https://www.sport.de/ninja-warrior/pe686792/florian-boebel/,Florian Böbel,Florian,Böbel,Deutschland,1988-02-29T00:00:00.000Z,32,m
https://www.sport.de/ninja-warrior/pe685874/michael-braeuer/,Michael Bräuer,Michael,Bräuer,Deutschland,1995-06-08T00:00:00.000Z,25,m
https://www.sport.de/ninja-warrior/pe686840/caroline-brunner/,Caroline Brunner,Caroline,Brunner,Deutschland,1994-12-02T00:00:00.000Z,25,w
https://www.sport.de/ninja-warrior/pe708068/david-brunner/,David Brunner,David,Brunner,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe686505/simon-brunner/,Simon Brunner,Simon,Brunner,Deutschland,1997-06-09T00:00:00.000Z,23,m
https://www.sport.de/ninja-warrior/pe708115/heiko-burchard-kraus/,Heiko Burchard-Kraus,Heiko,Burchard-Kraus,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708209/nils-buerger/,Nils Bürger,Nils,Bürger,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708011/tobias-burkhardt/,Tobias Burkhardt,Tobias,Burkhardt,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708118/thomas-burrey/,Thomas Burrey,Thomas,Burrey,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708055/leonardo-calderon/,Leonardo Calderon,Leonardo,Calderon,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe707993/michaela-casotti/,Michaela Casotti,Michaela,Casotti,Deutschland,,,w
https://www.sport.de/ninja-warrior/pe686559/rene-casselly/,René Casselly,René,Casselly,Deutschland,1996-09-06T00:00:00.000Z,24,m
https://www.sport.de/ninja-warrior/pe708125/patricio-cataldo/,Patricio Cataldo,Patricio,Cataldo,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708176/hussein-chahrour/,Hussein Chahrour,Hussein,Chahrour,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe707994/lea-clausnitzer/,Lea Clausnitzer,Lea,Clausnitzer,Deutschland,,,w
https://www.sport.de/ninja-warrior/pe708081/tanja-cordewener/,Tanja Cordewener,Tanja,Cordewener,Deutschland,,,w
https://www.sport.de/ninja-warrior/pe686738/elsa-culemann/,Elsa Culemann,Elsa,Culemann,Deutschland,1990-11-03T00:00:00.000Z,30,w
https://www.sport.de/ninja-warrior/pe708177/oezcan-dag/,Özcan Dag,Özcan,Dag,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe686839/georgi-damyanov/,Georgi Damyanov,Georgi,Damyanov,Bulgarien,1993-06-27T00:00:00.000Z,27,m
https://www.sport.de/ninja-warrior/pe707984/cedric-daniel/,Cedric Daniel,Cedric,Daniel,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708150/lukas-dauenheimer/,Lukas Dauenheimer,Lukas,Dauenheimer,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe686692/mark-degebrodt/,Mark Degebrodt,Mark,Degebrodt,Deutschland,1985-11-15T00:00:00.000Z,34,m
https://www.sport.de/ninja-warrior/pe708058/christian-denzer/,Christian Denzer,Christian,Denzer,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe685879/sladjan-djulabic/,Sladjan Djulabic,Sladjan,Djulabic,Deutschland,1988-11-29T00:00:00.000Z,31,m
https://www.sport.de/ninja-warrior/pe707975/sebastian-domes/,Sebastian Domes,Sebastian,Domes,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708178/jeffrey-doerpinghaus/,Jeffrey Dörpinghaus,Jeffrey,Dörpinghaus,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708047/andrea-doerr/,Andrea Dörr,Andrea,Dörr,Deutschland,,,w
https://www.sport.de/ninja-warrior/pe686799/stefanie-drach/,Stefanie Drach,Stefanie,Drach,Deutschland,1995-04-21T00:00:00.000Z,25,w
https://www.sport.de/ninja-warrior/pe685882/jakob-draeger/,Jakob Draeger,Jakob,Draeger,Deutschland,1990-08-27T00:00:00.000Z,30,m
https://www.sport.de/ninja-warrior/pe708243/anna-droszez/,Anna Droszez,Anna,Droszez,Deutschland,,,w
https://www.sport.de/ninja-warrior/pe686693/samuel-dufner/,Samuel Dufner,Samuel,Dufner,Deutschland,1989-04-08T00:00:00.000Z,31,m
https://www.sport.de/ninja-warrior/pe698720/tobias-eberle/,Tobias Eberle,Tobias,Eberle,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe686238/tabitha-eckfeld/,Tabitha Eckfeld,Tabitha,Eckfeld,Deutschland,1994-12-16T00:00:00.000Z,25,w
https://www.sport.de/ninja-warrior/pe686038/oliver-edelmann/,Oliver Edelmann,Oliver,Edelmann,Deutschland,1994-01-29T00:00:00.000Z,26,m
https://www.sport.de/ninja-warrior/pe708222/christian-eier/,Christian Eier,Christian,Eier,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe708164/tobias-eigen/,Tobias Eigen,Tobias,Eigen,Deutschland,,,m
https://www.sport.de/ninja-warrior/pe686177/david-eilenstein/,David Eilenstein,David,Eilenstein,Deutschland,1992-05-07T00:00:00.000Z,28,m
https://www.sport.de/ninja-warrior/pe686680/joerg-eissmann/,Jörg Eißmann,Jörg,Eißmann,Deutschland,1970-03-25T00:00:00.000Z,50,m
https://www.sport.de/ninja-warrior/pe686234/karim-el-azzazy/,Karim El Azzazy,Karim,El Azzazy,Deutschland,1991-04-10T00:00:00.000Z,29,m
https://www.sport.de/ninja-warrior/pe686233/yasin-el-azzazy/,Yasin El Azzazy,Yasin,El Azzazy,Deutschland,1990-03-20T00:00:00.000Z,30,m
