Name	Pfeil-Sprung	Rohrschlitten mit Rad	Himmelsleiter	Hangel-Stäbe	Kamin mit Klappen	Zeit
Max Prinz     	1	1	1	1	1	2:23.85m
Michael Streif      	1	1	1	1	1 2:40.59m
Michael Siegmund      	1	1	1	0		
Daniel Schmidt      	1	1	1	0		
Patrick Sonderegger      	1	1	1	0		
Philipp Boy     	1	1	1	0		
Philipp Allgeuer      	1	1	0			
Cindy Wagner   	1	1	0			
Manasse Heidl      	1	1	0			
Markus Herdieckerhoff      	1	0				
Antonia Quindel      	1	0				
Michael Rindisbacher      	1	0				
Jescher Heidl      	1	0				
Markus Schmoltner      	1	0				
Marc Neuhaus   	1	0				
Rita Benker   	1	0				
Tobias Holz     	1	0				
