Name,Pfeil.Sprung,Cargonetz.mit.Schaukel,Chaos.Bälle,Trommelwirbel,Tunnel.Sprung.2.0,Himmelsleiter,Einraster,Wand,Mega.Wand,Power.Tower,Zeit,Gefallen,Geschafft,Bezwungen
Lukas Kilian  ,1,1,1,1,1,1,1,1,0,1,2:12.08m,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter Einraster Wand
Alexander Wurm    ,1,1,1,1,1,1,1,1,0,0,3:24.14m,Power.Tower,8, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter Einraster Wand
Giovanni Ertl    ,1,1,1,1,1,1,1,1,0,, 3:24.53m,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter Einraster Wand
Björn Graul  ,1,1,1,1,1,1,1,1,0,,3:50.75m ,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter Einraster Wand
Christian Range    ,1,1,1,1,1,1,1,1,0,, 3:58.22m,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter Einraster Wand
Christian Kirstges    ,1,1,1,1,1,1,1,0,1,, 3:58.41m,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter Einraster Mega.Wand
Max Sprenger  ,1,1,1,1,1,1,0,0,0,,2:37.98m ,Einraster,6, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter
Siegfried Sperlich    ,1,1,1,1,1,1,0,0,0,, 3:32.91m,Einraster,6, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter
Marco Layer  ,1,1,1,1,1,1,0,0,0,,3:47.25m ,Einraster,6, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter
Uwe Weitzer  ,1,1,1,1,1,1,0,0,0,,4:14.72m ,Einraster,6, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter
Christian Krömer    ,1,1,1,1,1,1,0,0,0,, 2:56.49m,Einraster,6, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter
Philipp Göthert    ,1,1,1,1,1,0,0,0,0,,1:47.02m ,Himmelsleiter,5, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0
Rene Sperlich    ,1,1,1,1,1,0,0,0,0,,2:37.32m ,Himmelsleiter,5, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0
Niklas Woltmann    ,1,1,1,1,1,0,0,0,0,,2:51.10m ,Himmelsleiter,5, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0
Frank Schmidpeter    ,1,1,1,1,1,0,0,0,0,, 3:07.46m,Himmelsleiter,5, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel Tunnel.Sprung.2.0
Roy Sperlich  ,1,1,1,1,0,0,0,0,0,,  2:31.69m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel
Philipp Peter Frank    ,1,1,1,1,0,0,0,0,0,, 1:48.49m,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel
Thomas Klug  ,1,1,1,1,0,0,0,0,0,, 2:31.21m,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargonetz.mit.Schaukel Chaos.Bälle Trommelwirbel
