Name,Pfeil.Sprung,Cargonetz.mit.Schaukel,Schwebende.Keile,Sprungfedern,Tunnel.Sprung.2.0,Himmelsleiter,Drehende.Bretter,Wand,Mega.Wand,Power.Tower,Zeit,Gefallen,Geschafft,Bezwungen
René Casselly      ,1,1,1,1,1,1,1,1,0,1,1:57.02m,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Drehende.Bretter Wand
Eric Zekina   ,1,1,1,1,1,1,1,1,0,2:20.23m,,Mega.Wand,8, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Drehende.Bretter Wand
Daniel Schmidt      ,1,1,1,1,1,1,1,1,0,, 2:21.00m,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Drehende.Bretter Wand
Richard Pech   ,1,1,1,1,1,1,1,1,0,,2:43.59m ,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Drehende.Bretter Wand
Michael Siegmund      ,1,1,1,1,1,1,1,1,0,, 2:55.98m,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Drehende.Bretter Wand
Marian Lotze   ,1,1,1,1,1,1,1,1,0,,2:59.06m ,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Drehende.Bretter Wand
Marius Bender      ,1,1,1,1,1,1,1,1,0,, 3:15.53m,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Drehende.Bretter Wand
Christopher Von Stelzer         ,1,1,1,1,1,1,1,1,0,, 3:48.05m,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Drehende.Bretter Wand
Max Prinz     ,1,1,1,1,1,1,1,1,0,,  3:55.00m ,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Drehende.Bretter Wand
Niklas Wiesenzarter      ,1,1,1,1,1,1,1,1,0,, 5:16.36m,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Drehende.Bretter Wand
Kevin Meyer   ,1,1,1,1,1,1,1,1,0,,6:39.86m ,0,8, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Drehende.Bretter Wand
Kevin Herzog   ,1,1,1,1,1,1,0,0,0,,2:25.70m ,Drehende.Bretter,6, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter
Kasimir Meyer      ,1,1,1,1,1,1,0,0,0,,2:53.46m ,Drehende.Bretter,6, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter
Simon Friesenecker      ,1,1,1,1,1,1,0,0,0,, 3:00.57m,Drehende.Bretter,6, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter
Xhemë Krasniqi   ,1,1,1,1,1,1,0,0,0,,3:03.76m ,Drehende.Bretter,6, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter
Marco Sperdin      ,1,1,1,1,1,1,0,0,0,,3:17.09m ,Drehende.Bretter,6, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter
Katharina Blank      ,1,1,1,1,1,1,0,0,0,, 4:39.42m,Drehende.Bretter,6, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter
Tobias Burkhardt      ,1,1,1,1,1,0,0,0,0,,1:55.08m ,Himmelsleiter,5, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0
Jakob Draeger      ,1,1,1,1,1,0,0,0,0,,2:43.93m ,Himmelsleiter,5, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0
Dominik Kunzler      ,1,1,1,1,1,0,0,0,0,,2:43.24m ,Himmelsleiter,5, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0
Yasin El Azzazy      ,1,1,1,1,1,0,0,0,0,,1:42.28m ,Himmelsleiter,5, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0
Maximilian Rieder      ,1,1,1,1,1,0,0,0,0,, 2:30.57m,Himmelsleiter,5, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0
Karim El Azzazy      ,1,1,1,1,1,0,0,0,0,,1:35.82m ,Himmelsleiter,5, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0
Pascal Koronowski      ,1,1,1,1,1,0,0,0,0,, 3:40.25m,Himmelsleiter,5, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern Tunnel.Sprung.2.0
Nelson Mzobe   ,1,1,1,1,0,0,0,0,0,,  1:32.04m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern
Noah Lüders   ,1,1,1,1,0,0,0,0,0,,  1:39.73m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern
Michael Petsch      ,1,1,1,1,0,0,0,0,0,,1:51.38m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern
Elisa Van der Wel   ,1,1,1,1,0,0,0,0,0,,3:22.64m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern
Tabitha Eckfeld      ,1,1,1,1,0,0,0,0,0,,3:34.90m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern
Paul Hild     ,1,1,1,1,0,0,0,0,0,,  1:21.33m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile Sprungfedern
Dominik Krause      ,1,1,1,0,0,0,0,0,0,,1:00.65m ,Sprungfedern,3, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile
Luana Hauptmann      ,1,1,1,0,0,0,0,0,0,,1:25.87m ,Sprungfedern,3, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile
Jana Sander   ,1,1,1,0,0,0,0,0,0,, 1:48.19m,Sprungfedern,3, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile
John Förster      ,1,1,1,0,0,0,0,0,0,,  3:36.16m ,Sprungfedern,3, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile
Steffen Reinelt      ,1,1,1,0,0,0,0,0,0,,1:12.02m ,Sprungfedern,3, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile
Tomislav Zecevic      ,1,1,1,0,0,0,0,0,0,,1:16.87m ,Sprungfedern,3, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile
Haruna Wackernagel      ,1,1,1,0,0,0,0,0,0,,1:27.08m ,Sprungfedern,3, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile
Stephanie Rettenberger      ,1,1,1,0,0,0,0,0,0,, 1:36.71m,Sprungfedern,3, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile
Maria Henneken      ,1,1,1,0,0,0,0,0,0,,1:45.33m ,Sprungfedern,3, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile
Andrea Dörr   ,1,1,1,0,0,0,0,0,0,, 2:00.13m,Sprungfedern,3, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile
Dirk Reimann   ,1,1,1,0,0,0,0,0,0,, 2:12.55m,Sprungfedern,3, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile
Sonja Fischer      ,1,1,1,0,0,0,0,0,0,,  2:13.10m ,Sprungfedern,3, Pfeil.Sprung Cargonetz.mit.Schaukel Schwebende.Keile
Florian Becher      ,1,1,0,0,0,0,0,0,0,,  1:05.01m ,Schwebende.Keile,2, Pfeil.Sprung Cargonetz.mit.Schaukel
Maylin Segger      ,1,1,0,0,0,0,0,0,0,, 1:05.86m,Schwebende.Keile,2, Pfeil.Sprung Cargonetz.mit.Schaukel
Annika Werner      ,1,1,0,0,0,0,0,0,0,, 49.96s,Schwebende.Keile,2, Pfeil.Sprung Cargonetz.mit.Schaukel
Martin Renk   ,1,1,0,0,0,0,0,0,0,,  58.54s ,Schwebende.Keile,2, Pfeil.Sprung Cargonetz.mit.Schaukel
Carlos Davalos Lomeli      ,1,1,0,0,0,0,0,0,0,,51.96s ,Schwebende.Keile,2, Pfeil.Sprung Cargonetz.mit.Schaukel
Thomas Hafer   ,1,0,0,0,0,0,0,0,0,,  18.98s ,Cargonetz.mit.Schaukel,1, Pfeil.Sprung
Mona Schulz   ,1,0,0,0,0,0,0,0,0,,  22.15s ,Cargonetz.mit.Schaukel,1, Pfeil.Sprung
Michael Badner      ,1,0,0,0,0,0,0,0,0,, 26.92s,Cargonetz.mit.Schaukel,1, Pfeil.Sprung
Dennis Kilani      ,1,0,0,0,0,0,0,0,0,, 29.11s,Cargonetz.mit.Schaukel,1, Pfeil.Sprung
Toni Franzke   ,1,0,0,0,0,0,0,0,0,,  30.13s ,Cargonetz.mit.Schaukel,1, Pfeil.Sprung
Max Kiffmeyer      ,1,0,0,0,0,0,0,0,0,, 32.18s,Cargonetz.mit.Schaukel,1, Pfeil.Sprung
Sascha Schöpf      ,1,0,0,0,0,0,0,0,0,, 38.22s,Cargonetz.mit.Schaukel,1, Pfeil.Sprung
Bajran Morina      ,1,0,0,0,0,0,0,0,0,, 39.15s,Cargonetz.mit.Schaukel,1, Pfeil.Sprung
Meliha Satir   ,1,0,0,0,0,0,0,0,0,,  44.32s ,Cargonetz.mit.Schaukel,1, Pfeil.Sprung
Gabriel Barth      ,1,0,0,0,0,0,0,0,0,, 1:15.71m,Cargonetz.mit.Schaukel,1, Pfeil.Sprung
Stella Holczer      ,1,0,0,0,0,0,0,0,0,, 1:42.29m,Cargonetz.mit.Schaukel,1, Pfeil.Sprung
Matthias Hojczyk      ,0,0,0,0,0,0,0,0,0,,  2.97s   ,Pfeil.Sprung,0,NA
