Name,Pfeil.Sprung,Cargo.Netz.mit.Rad,Block.Lauf.2.0,Sprungfedern,Tunnel.Sprung.2.0,Himmelsleiter,Klacker,Wand,Mega.Wand,Power.Tower,Zeit,Gefallen,Geschafft,Bezwungen
Artur Schreiber      ,1,1,1,1,1,1,1,1,0,1,2:19.30m,0,8, Pfeil.Sprung Cargo.Netz.mit.Rad Block.Lauf.2.0 Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Klacker Wand
Fabian Ströbele      ,1,1,1,1,1,1,1,1,0,0,3:03.78m,Power.Tower,8, Pfeil.Sprung Cargo.Netz.mit.Rad Block.Lauf.2.0 Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Klacker Wand
Leon Wismann   ,1,1,1,1,1,1,1,1,0,,4:01.43m ,0,8, Pfeil.Sprung Cargo.Netz.mit.Rad Block.Lauf.2.0 Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Klacker Wand
Timo Seifried      ,1,1,1,1,1,1,1,1,0,, 4:03.37m,0,8, Pfeil.Sprung Cargo.Netz.mit.Rad Block.Lauf.2.0 Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Klacker Wand
Jescher Heidl      ,1,1,1,1,1,1,1,1,0,, 4:18.83m,0,8, Pfeil.Sprung Cargo.Netz.mit.Rad Block.Lauf.2.0 Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter Klacker Wand
Marvin Mitterhuber      ,1,1,1,1,1,1,0,0,0,, 5:20.94m,Klacker,6, Pfeil.Sprung Cargo.Netz.mit.Rad Block.Lauf.2.0 Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter
Stephan Schmid      ,1,1,1,1,1,1,0,0,0,,3:10.02m ,Klacker,6, Pfeil.Sprung Cargo.Netz.mit.Rad Block.Lauf.2.0 Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter
Lukas Kern     ,1,1,1,1,1,1,0,0,0,,  3:42.42m ,Klacker,6, Pfeil.Sprung Cargo.Netz.mit.Rad Block.Lauf.2.0 Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter
Benedikt Sigmund      ,1,1,1,1,1,1,0,0,0,, 2:59.20m,Klacker,6, Pfeil.Sprung Cargo.Netz.mit.Rad Block.Lauf.2.0 Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter
Manasse Heidl      ,1,1,1,1,1,1,0,0,0,,3:25.82m ,Klacker,6, Pfeil.Sprung Cargo.Netz.mit.Rad Block.Lauf.2.0 Sprungfedern Tunnel.Sprung.2.0 Himmelsleiter
