Name,Pfeil.Sprung,Cargo.Netz.mit.Bügeln,Domino.Weg,Schwingende.Körbe,Tunnel.Sprung.2.0,Himmelsleiter,Hangel.Kurven,Wand,Mega.Wand,Power.Tower,Zeit,Gefallen,Geschafft,Bezwungen
Kim Marschner      ,1,1,1,1,1,1,1,1,0,1,1:45.50m,0,8, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter Hangel.Kurven Wand
Simon Brunner      ,1,1,1,1,1,1,1,1,0,0,2:21.00m,Power.Tower,8, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter Hangel.Kurven Wand
Malte Komm     ,1,1,1,1,1,1,1,1,0,,3:33.20m ,0,8, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter Hangel.Kurven Wand
Michael Bräuer      ,1,1,1,1,1,1,1,1,0,, 3:52.90m,0,8, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter Hangel.Kurven Wand
David Eilenstein      ,1,1,1,1,1,1,1,1,0,, 4:04.60m,0,8, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter Hangel.Kurven Wand
Lasse Von Freier      ,1,1,1,1,1,1,1,1,0,, 4:29.30m,0,8, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter Hangel.Kurven Wand
Moritz Hans   ,1,1,1,1,1,1,1,0,1,,5:08.50m ,0,8, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter Hangel.Kurven Mega.Wand
Krister Kröll      ,1,1,1,1,1,1,1,1,0,, 5:20.70m,0,8, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter Hangel.Kurven Wand
Philipp Hans   ,1,1,1,1,1,1,1,1,0,,5:23.70m ,0,8, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter Hangel.Kurven Wand
Tatjana Holz   ,1,1,1,1,1,1,0,0,0,,3:28.50m ,Hangel.Kurven,6, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Stefan Angermeier      ,1,1,1,1,1,1,0,0,0,, 4:14.70m,Hangel.Kurven,6, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Alexander Frisch      ,1,1,1,1,1,1,0,0,0,, 5:00.60m,Hangel.Kurven,6, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Jörn Kröll   ,1,1,1,1,1,1,0,0,0,,4:06.80m ,Hangel.Kurven,6, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Lukas Dauenheimer      ,1,1,1,1,1,1,0,0,0,, 3:42.80m,Hangel.Kurven,6, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Christian Harmat   ,1,1,1,1,1,1,0,0,0,, 1:50.20m,Hangel.Kurven,6, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Daniel Schmitt      ,1,1,1,1,1,0,0,0,0,,2:03.00m ,Himmelsleiter,5, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe Tunnel.Sprung.2.0
Mahdi Limper   ,1,1,1,1,0,0,0,0,0,,  1:22.40m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe
Florian Böbel      ,1,1,1,1,0,0,0,0,0,,1:25.80m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe
Fabio Helmrich      ,1,1,1,1,0,0,0,0,0,,1:39.30m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe
Uwe Hückmann      ,1,1,1,1,0,0,0,0,0,,1:51.60m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Bügeln Domino.Weg Schwingende.Körbe
