Name,Pfeil.Sprung,Cargo.Netz.mit.Stange,Chaos.Bälle,Schwingende.Körbe,Tunnel.Sprung.2.0,Himmelsleiter,Zeit.Sprung,Wand,Mega.Wand,Power.Tower,Zeit,Gefallen,Geschafft,Bezwungen
Milan Schirowski      ,1,1,1,1,1,1,1,1,0,0,2:25.60m,Power.Tower,8, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter Zeit.Sprung Wand
Daniel Gerber      ,1,1,1,1,1,1,1,1,0,1,2:27.80m,0,8, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter Zeit.Sprung Wand
Alex Grunwald      ,1,1,1,1,1,1,1,1,0,, 2:30.90m,0,8, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter Zeit.Sprung Wand
Enrico Meister      ,1,1,1,1,1,1,0,0,0,,2:54.10m ,Zeit.Sprung,6, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Eren Eski     ,1,1,1,1,1,1,0,0,0,, 2:29.80m,Zeit.Sprung,6, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Christian Balkheimer      ,1,1,1,1,1,1,0,0,0,, 2:34.60m,Zeit.Sprung,6, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Moritz Andelfinger      ,1,1,1,1,1,1,0,0,0,, 2:44.10m,Zeit.Sprung,6, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Benedikt Last      ,1,1,1,1,1,1,0,0,0,,3:20.60m ,Zeit.Sprung,6, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Marius Holzinger      ,1,1,1,1,1,1,0,0,0,, 3:54.50m,Zeit.Sprung,6, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Benjamin Schmidt      ,1,1,1,1,1,1,0,0,0,, 2:08.40m,Zeit.Sprung,6, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Christoph Galle      ,1,1,1,1,1,1,0,0,0,, 2:40.70m,Zeit.Sprung,6, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Bastian Hauk   ,1,1,1,1,1,1,0,0,0,,3:03.40m ,Zeit.Sprung,6, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Patrick Basler      ,1,1,1,1,1,1,0,0,0,,3:06.60m ,Zeit.Sprung,6, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Dennis Leiber      ,1,1,1,1,1,1,0,0,0,,3:17.50m ,Zeit.Sprung,6, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Bérenger Florence      ,1,1,1,1,1,1,0,0,0,, 3:22.30m,Zeit.Sprung,6, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Markus Malle   ,1,1,1,1,1,1,0,0,0,,3:57.30m ,Zeit.Sprung,6, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0 Himmelsleiter
Tobias Holz   ,1,1,1,1,1,0,0,0,0,,  2:00.10m ,Himmelsleiter,5, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0
Stephan Röpcke      ,1,1,1,1,1,0,0,0,0,,3:35.40m ,Himmelsleiter,5, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe Tunnel.Sprung.2.0
Raffael Schellenberg      ,1,1,1,1,0,0,0,0,0,, 3:21.20m,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe
Philipp Jürgen      ,1,1,1,1,0,0,0,0,0,,1:00.50m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe
Felix Flieger      ,1,1,1,1,0,0,0,0,0,,1:28.70m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe
Nils Bürger   ,1,1,1,1,0,0,0,0,0,,  1:44.70m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe
Stephan Koitek      ,1,1,1,1,0,0,0,0,0,,1:55.90m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe
Stefanie Drach      ,1,1,1,1,0,0,0,0,0,,3:13.60m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle Schwingende.Körbe
Gabriel Pediconi      ,1,1,1,0,0,0,0,0,0,,1:46.50m ,Schwingende.Körbe,3, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle
Dean Tanwani   ,1,1,1,0,0,0,0,0,0,, 1:07.90m,Schwingende.Körbe,3, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle
Francois Lagalante      ,1,1,1,0,0,0,0,0,0,,1:10.20m ,Schwingende.Körbe,3, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle
Julia Koch     ,1,1,1,0,0,0,0,0,0,,  1:19.20m ,Schwingende.Körbe,3, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle
Dimitrios Papadopoulos      ,1,1,1,0,0,0,0,0,0,, 1:25.90m,Schwingende.Körbe,3, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle
Lea Fortin     ,1,1,1,0,0,0,0,0,0,,  2:50.50m ,Schwingende.Körbe,3, Pfeil.Sprung Cargo.Netz.mit.Stange Chaos.Bälle
Oxana Wachter      ,1,1,0,0,0,0,0,0,0,, 1:03.80m,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Jasmin Lehmann      ,1,1,0,0,0,0,0,0,0,,  1:41.90m ,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Patrick Mengel      ,1,1,0,0,0,0,0,0,0,,  1:51.00m ,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Lukas Kaufmann      ,1,1,0,0,0,0,0,0,0,,  22.04s ,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Sven Wilhelm   ,1,1,0,0,0,0,0,0,0,, 28.24s,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Rainer Leiber      ,1,1,0,0,0,0,0,0,0,, 43.16s,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Tim Kruk     ,1,1,0,0,0,0,0,0,0,, 53.68s,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Patrick Apfelthaler      ,1,1,0,0,0,0,0,0,0,,58.74s ,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Mario Gimbel   ,1,1,0,0,0,0,0,0,0,, 59.40s,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Lilli Kiesgen      ,1,1,0,0,0,0,0,0,0,, 1:10.40m,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Ricardo Lopez Lozano      ,1,1,0,0,0,0,0,0,0,,1:29.80m ,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Sven Perez     ,1,1,0,0,0,0,0,0,0,,  1:41.80m ,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Tiberius Ignat      ,1,1,0,0,0,0,0,0,0,,  38.52s ,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Jekaterina Konanchuk      ,0,0,0,0,0,0,0,0,0,,38.87s ,0,0,NA
Christian Eier      ,1,1,0,0,0,0,0,0,0,,  59.60s ,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Annina Lehmann      ,1,1,0,0,0,0,0,0,0,,  1:01.70m ,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Sabina Kofler      ,1,1,0,0,0,0,0,0,0,, 2:02.70m,Chaos.Bälle,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Carsten Mengel      ,1,0,0,0,0,0,0,0,0,, 22.46s,Cargo.Netz.mit.Stange,1, Pfeil.Sprung
Leon Krückmeyer      ,1,0,0,0,0,0,0,0,0,,23.19s ,Cargo.Netz.mit.Stange,1, Pfeil.Sprung
Lisa Unger     ,1,0,0,0,0,0,0,0,0,, 35.26s,Cargo.Netz.mit.Stange,1, Pfeil.Sprung
Julia Biebl   ,1,0,0,0,0,0,0,0,0,,  1:01.80m ,Cargo.Netz.mit.Stange,1, Pfeil.Sprung
Philipp Altenhofen      ,0,0,0,0,0,0,0,0,0,,9.69s ,Pfeil.Sprung,0,NA
Regina Strunz      ,0,0,0,0,0,0,0,0,0,,  11.22s ,Pfeil.Sprung,0,NA
Nele Geis     ,0,0,0,0,0,0,0,0,0,, 13.09s,Pfeil.Sprung,0,NA
Ramona Bergmeister      ,0,0,0,0,0,0,0,0,0,,14.62s ,Pfeil.Sprung,0,NA
Bianca Giering      ,0,0,0,0,0,0,0,0,0,, 14.96s,Pfeil.Sprung,0,NA
Mehmet Topyürek      ,0,0,0,0,0,0,0,0,0,,  35.65s ,Pfeil.Sprung,0,NA
Ahmet Kurt     ,0,0,0,0,0,0,0,0,0,, 5.75s,Pfeil.Sprung,0,NA
Lynne Winkler      ,0,0,0,0,0,0,0,0,0,,  5.55s ,Pfeil.Sprung,0,NA
Nikki Adler   ,0,0,0,0,0,0,0,0,0,, 2.03s  ,Pfeil.Sprung,0,NA
